"Part D Drug Utilization and Cost Summary, Calendar Years 2011 - 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,Generic Name,"Claim Count, 2011","Total Spending, 2011","Beneficiary Count, 2011","Total Annual Spending Per User, 2011","Unit Count, 2011","Average Cost Per Unit (Weighted), 2011","Beneficiary Count No LIS, 2011","Average Beneficiary Cost Share No LIS, 2011","Beneficiary Count LIS, 2011","Average Beneficiary Cost Share LIS, 2011","Claim Count, 2012","Total Spending, 2012","Beneficiary Count, 2012","Total Annual Spending Per User, 2012","Unit Count, 2012","Average Cost Per Unit (Weighted), 2012","Beneficiary Count No LIS, 2012","Average Beneficiary Cost Share No LIS, 2012","Beneficiary Count LIS, 2012","Average Beneficiary Cost Share LIS, 2012","Claim Count, 2013","Total Spending, 2013","Beneficiary Count, 2013","Total Annual Spending Per User, 2013","Unit Count, 2013","Average Cost Per Unit (Weighted), 2013","Beneficiary Count No LIS, 2013","Average Beneficiary Cost Share No LIS, 2013","Beneficiary Count LIS, 2013","Average Beneficiary Cost Share LIS, 2013","Claim Count, 2014","Total Spending, 2014","Beneficiary Count, 2014","Total Annual Spending Per User, 2014","Unit Count, 2014","Average Cost Per Unit (Weighted), 2014","Beneficiary Count No LIS, 2014","Average Beneficiary Cost Share No LIS, 2014","Beneficiary Count LIS, 2014","Average Beneficiary Cost Share LIS, 2014","Claim Count, 2015","Total Spending, 2015","Beneficiary Count, 2015","Total Annual Spending Per User, 2015","Unit Count, 2015","Average Cost Per Unit (Weighted), 2015","Beneficiary Count No LIS, 2015","Average Beneficiary Cost Share No LIS, 2015","Beneficiary Count LIS, 2015","Average Beneficiary Cost Share LIS, 2015","Annual Change in Average Cost Per Unit, 2015"
LOPID ,GEMFIBROZIL ,430,"$90,753.78",131,$692.78,"36,862",$2.46,87,$216.68,44,$12.08,345,"$86,717.95",111,$781.24,"31,651",$2.74,82,$215.27,29,$9.19,472,"$131,728.39",130,"$1,013.30","43,766",$3.01,101,$229.93,29,$9.97,315,"$98,496.81",111,$887.36,"28,994",$3.40,86,$212.20,25,$8.58,279,"$100,496.56",80,"$1,256.21","25,833",$3.89,57,$266.62,23,$7.11,
LOPREEZA ,ESTRADIOL/NORETHINDRONE ACET ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,591","$1,271,120.82","2,793",$455.11,"431,624",$2.95,"2,368",$173.92,425,$10.34,
LOPRESSOR ,METOPROLOL TARTRATE ,"16,101","$2,221,422.76","3,218",$690.31,"1,173,794",$1.89,"2,383",$325.51,835,$24.89,"11,008","$1,629,022.65","2,571",$633.61,"720,836",$2.26,"1,961",$286.34,610,$25.53,"1,292","$138,430.86",567,$244.15,"59,170",$2.35,425,$131.12,142,$12.10,352,"$45,604.18",172,$265.14,"25,005",$1.84,119,$102.32,53,$4.82,960,"$156,824.84",343,$457.22,"88,916",$1.77,235,$160.22,108,$12.50,
LOPRESSOR HCT ,METOPROLOL/HYDROCHLOROTHIAZIDE ,426,"$48,435.21",81,$597.97,"20,536",$2.33,56,$396.14,25,$16.36,195,"$20,781.44",50,$415.63,"8,755",$2.37,35,$248.49,15,$20.81,171,"$18,418.95",38,$484.71,"8,933",$2.06,,,,,59,"$7,114.51",22,$323.39,"3,410",$2.09,,,,,,,,,,,,,,,
LOPROX ,CICLOPIROX ,"1,477","$406,428.91",919,$442.25,"172,525",$2.61,544,$89.61,375,$5.30,852,"$271,168.32",507,$534.85,"89,475",$3.46,284,$87.18,223,$4.94,487,"$206,524.68",264,$782.29,"65,754",$3.37,188,$89.08,76,$2.88,271,"$164,885.74",158,"$1,043.58","40,025",$4.11,114,$75.53,44,$8.07,357,"$293,178.72",222,"$1,320.62","50,400",$5.82,152,$75.83,70,$3.25,
LORAZEPAM ,LORAZEPAM ,"849,712","$11,313,477.79","195,625",$57.83,"49,843,885",$0.23,"161,466",$22.73,"34,159",$15.09,"915,294","$11,494,846.92","212,244",$54.16,"55,302,343",$0.21,"176,603",$23.62,"35,641",$15.54,"9,720,014","$85,691,796.33","2,108,997",$40.63,"541,131,246",$0.17,"1,155,731",$22.57,"953,266",$4.47,"10,264,849","$78,875,072.46","2,139,628",$36.86,"573,979,887",$0.15,"1,199,088",$21.77,"940,540",$4.12,"10,600,707","$77,254,457.62","2,213,907",$34.90,"589,933,560",$0.14,"1,254,336",$21.73,"959,571",$4.15,-5%
LORAZEPAM INTENSOL ,LORAZEPAM ,"1,034","$44,648.03",794,$56.23,"32,532",$1.37,562,$16.92,232,$10.29,"1,401","$60,643.91","1,046",$57.98,"48,068",$1.26,676,$16.75,370,$9.14,"40,775","$1,606,863.13","28,563",$56.26,"1,290,829",$1.24,"9,403",$20.58,"19,160",$0.57,"43,832","$1,649,629.19","30,709",$53.72,"1,379,502",$1.20,"9,969",$22.58,"20,740",$0.47,"43,903","$1,660,538.57","32,262",$51.47,"1,373,386",$1.21,"10,139",$22.15,"22,123",$0.50,1%
LORCET 10-650 ,HYDROCODONE/ACETAMINOPHEN ,"2,390","$383,887.77",544,$705.68,"245,533",$1.56,175,$358.63,369,$14.95,"2,000","$339,679.59",431,$788.12,"216,555",$1.57,152,$329.42,279,$9.22,"2,233","$364,447.17",384,$949.08,"233,870",$1.56,178,$387.14,206,$11.85,185,"$27,977.82",125,$223.82,"17,933",$1.56,59,$76.23,66,$5.45,,,,,,,,,,,
LORCET PLUS ,HYDROCODONE/ACETAMINOPHEN ,"1,211","$119,351.43",360,$331.53,"109,543",$1.09,138,$242.51,222,$9.62,811,"$80,317.54",195,$411.88,"73,496",$1.09,97,$221.92,98,$12.68,908,"$97,872.66",181,$540.73,"89,071",$1.10,103,$278.10,78,$21.68,84,"$6,403.02",61,$104.97,"5,686",$1.13,35,$66.24,26,$6.99,,,,,,,,,,,
LORTAB ,HYDROCODONE/ACETAMINOPHEN ,"16,590","$2,346,882.54","5,300",$442.81,"1,599,875",$1.49,"1,716",$234.49,"3,584",$9.10,"14,260","$2,456,628.90","3,987",$616.16,"1,501,867",$1.70,"1,426",$259.98,"2,561",$9.89,"16,211","$3,231,185.97","4,010",$805.78,"1,806,217",$1.87,"1,647",$301.72,"2,363",$12.92,"5,601","$1,138,825.12","3,237",$351.81,"2,335,939",$0.76,"1,701",$96.05,"1,536",$4.24,"2,794","$649,677.65","1,408",$461.42,"1,424,548",$0.59,783,$91.70,625,$3.71,0%
LORYNA ,ETHINYL ESTRADIOL/DROSPIRENONE ,"1,173","$87,542.58",388,$225.63,"42,644",$2.05,45,$39.65,343,$3.76,"2,824","$202,602.22",608,$333.23,"101,836",$1.99,66,$86.02,542,$5.72,"2,780","$200,517.55",594,$337.57,"103,076",$1.95,72,$105.79,522,$5.73,"4,072","$277,295.96",837,$331.30,"153,552",$1.81,87,$122.96,750,$5.82,"4,689","$316,411.82",980,$322.87,"178,500",$1.77,95,$149.09,885,$6.46,
LORZONE ,CHLORZOXAZONE ,55,"$8,158.64",45,$181.30,"3,387",$2.40,18,$52.40,27,$2.86,"1,201","$223,055.38",614,$363.28,"82,598",$2.70,243,$82.51,371,$4.04,"2,223","$571,940.96","1,062",$538.55,"147,440",$3.87,569,$97.61,493,$3.91,"3,113","$1,076,149.18","1,307",$823.37,"210,945",$5.10,637,$109.86,670,$3.25,"3,976","$1,726,058.31","1,629","$1,059.58","278,072",$6.19,798,$112.76,831,$7.09,21%
LOSARTAN POTASSIUM ,LOSARTAN POTASSIUM ,"8,464,072","$231,131,561.87","1,676,034",$137.90,"416,137,229",$0.56,"1,158,083",$47.89,"517,951",$7.76,"12,078,876","$274,542,390.40","2,299,648",$119.38,"614,752,795",$0.45,"1,615,702",$40.75,"683,946",$7.17,"15,758,800","$311,044,201.66","3,022,382",$102.91,"840,010,509",$0.37,"2,179,735",$36.37,"842,647",$6.87,"18,404,175","$263,740,475.00","3,599,084",$73.28,"1,026,159,306",$0.26,"2,594,227",$30.05,"1,004,857",$6.18,"20,461,067","$219,253,224.65","4,070,772",$53.86,"1,193,120,240",$0.18,"2,929,208",$24.42,"1,141,564",$5.70,-28%
LOSARTAN-HYDROCHLOROTHIAZIDE ,LOSARTAN/HYDROCHLOROTHIAZIDE ,"3,367,721","$111,487,925.21","630,908",$176.71,"152,472,196",$0.73,"456,765",$51.45,"174,143",$9.29,"4,484,950","$120,510,276.89","831,647",$144.91,"217,103,151",$0.56,"616,120",$42.71,"215,527",$8.64,"5,489,628","$125,367,418.02","1,038,604",$120.71,"284,500,287",$0.44,"787,851",$38.09,"250,753",$8.12,"5,939,231","$103,846,654.31","1,163,935",$89.22,"324,740,769",$0.32,"883,282",$32.64,"280,653",$7.33,"6,271,722","$81,513,062.97","1,267,642",$64.30,"358,182,386",$0.23,"959,634",$28.10,"308,008",$6.78,-29%
LOSEASONIQUE ,L-NORGEST/E.ESTRADION-E.ESTRAD ,640,"$148,556.92",319,$465.70,"58,169",$2.55,30,$248.20,289,$9.98,231,"$54,733.34",108,$506.79,"20,429",$2.68,,,,,121,"$28,852.24",53,$544.38,"10,682",$2.70,,,,,79,"$19,709.24",30,$656.97,"7,067",$2.79,,,,,46,"$12,095.57",24,$503.98,"4,185",$2.89,,,,,
LOTEMAX ,LOTEPREDNOL ETABONATE ,"256,351","$31,787,845.76","141,270",$225.01,"1,792,307",$17.86,"93,453",$85.49,"47,817",$8.35,"301,258","$46,731,600.49","166,389",$280.86,"2,011,569",$23.83,"113,384",$90.54,"53,005",$8.05,"404,068","$64,905,283.02","214,660",$302.36,"2,419,951",$27.49,"152,833",$88.70,"61,827",$8.11,"422,619","$73,721,735.28","218,398",$337.56,"2,398,354",$31.18,"157,067",$109.46,"61,331",$8.53,"394,373","$76,906,744.70","204,182",$376.66,"2,228,885",$34.82,"148,349",$114.86,"55,833",$8.64,12%
LOTENSIN ,BENAZEPRIL HCL ,"6,454","$603,566.57","1,233",$489.51,"340,223",$1.77,875,$303.70,358,$26.03,"5,018","$544,556.86",987,$551.73,"281,150",$1.94,720,$316.62,267,$22.69,"3,775","$421,036.51",783,$537.72,"221,467",$1.90,594,$282.87,189,$26.83,"2,852","$335,574.14",644,$521.08,"176,778",$1.90,485,$257.73,159,$21.26,"2,068","$257,239.73",457,$562.89,"135,330",$1.90,353,$243.85,104,$19.14,
LOTENSIN HCT ,BENAZEPRIL/HYDROCHLOROTHIAZIDE ,"2,025","$165,529.70",406,$407.71,"93,542",$1.77,310,$264.91,96,$23.69,"1,452","$136,321.19",328,$415.61,"71,647",$1.90,253,$258.18,75,$31.70,461,"$36,381.71",164,$221.84,"18,819",$1.93,133,$147.33,31,$12.07,54,"$4,785.66",27,$177.25,"2,498",$1.91,,,,,42,"$4,611.50",18,$256.19,"2,500",$1.85,,,,,
LOTREL ,AMLODIPINE BESYLATE/BENAZEPRIL ,"143,678","$23,854,054.15","39,947",$597.14,"5,431,648",$4.42,"16,667",$210.26,"23,280",$17.34,"30,112","$6,237,162.71","8,174",$763.05,"1,314,877",$4.79,"4,056",$339.98,"4,118",$16.13,"23,611","$6,401,808.43","4,609","$1,388.98","1,174,073",$5.49,"3,154",$412.24,"1,455",$29.68,"19,717","$6,259,380.68","3,799","$1,647.64","1,026,378",$6.14,"2,740",$420.66,"1,059",$30.15,"16,461","$6,138,929.61","3,011","$2,038.83","855,537",$7.23,"2,205",$463.77,806,$33.25,18%
LOTRISONE ,CLOTRIMAZOLE/BETAMETHASONE DIP ,"1,199","$105,039.61",726,$144.68,"53,141",$1.98,438,$58.37,288,$4.96,828,"$78,475.49",528,$148.63,"40,145",$1.96,342,$53.32,186,$5.93,849,"$89,161.62",546,$163.30,"42,568",$2.09,392,$41.46,154,$3.59,"1,089","$121,075.32",613,$197.51,"53,139",$2.28,409,$46.88,204,$4.19,847,"$98,299.95",487,$201.85,"39,301",$2.50,335,$43.04,152,$4.77,
LOTRONEX ,ALOSETRON HCL ,"6,777","$6,906,331.64","1,783","$3,873.43","382,059",$18.00,"1,043",$556.32,740,$23.09,"7,789","$9,762,156.12","1,922","$5,079.17","447,060",$21.70,"1,135",$657.49,787,$16.56,"9,569","$14,308,227.57","2,367","$6,044.88","559,722",$25.33,"1,457",$640.12,910,$15.83,"10,273","$17,308,072.12","2,352","$7,358.87","606,796",$28.18,"1,466",$721.81,886,$17.01,"6,739","$14,363,112.93","1,754","$8,188.78","391,338",$36.49,"1,110",$821.70,644,$21.95,28%
LOVASTATIN ,LOVASTATIN ,"6,966,660","$130,723,947.18","1,277,640",$102.32,"381,140,482",$0.34,"887,497",$41.81,"390,143",$8.90,"6,714,014","$111,136,726.86","1,271,000",$87.44,"391,535,056",$0.28,"888,797",$40.03,"382,203",$7.78,"6,431,615","$101,546,321.67","1,252,167",$81.10,"384,608,891",$0.26,"896,546",$35.43,"355,621",$7.63,"6,001,300","$83,724,531.45","1,226,792",$68.25,"374,101,291",$0.22,"882,140",$33.62,"344,652",$7.27,"5,635,441","$63,912,876.94","1,187,099",$53.84,"361,997,033",$0.18,"854,743",$26.85,"332,356",$6.87,-19%
LOVAZA ,OMEGA-3 ACID ETHYL ESTERS ,"1,616,439","$287,709,256.88","316,116",$910.14,"205,097,571",$1.40,"132,054",$249.34,"184,062",$19.58,"1,831,233","$365,789,227.29","345,735","$1,058.00","238,725,688",$1.53,"143,915",$267.71,"201,820",$18.50,"2,014,922","$453,041,759.26","375,063","$1,207.91","270,454,071",$1.68,"167,244",$259.39,"207,819",$18.59,"1,294,926","$318,011,161.72","312,257","$1,018.43","169,357,237",$1.88,"131,228",$190.31,"181,029",$12.84,"140,558","$39,420,786.17","63,641",$619.42,"17,474,684",$2.26,"17,706",$189.20,"45,935",$6.01,20%
LOVENOX ,ENOXAPARIN SODIUM ,"146,119","$103,990,754.91","79,953","$1,300.65","1,335,975",$76.63,"46,018",$137.31,"33,935",$9.09,"54,509","$38,336,156.52","30,295","$1,265.43","654,519",$58.68,"21,183",$79.87,"9,112",$7.16,"38,517","$20,702,130.68","22,493",$920.38,"503,454",$41.03,"18,363",$38.68,"4,130",$5.79,"39,771","$20,196,249.35","22,699",$889.74,"540,914",$37.33,"18,539",$39.66,"4,160",$5.85,"38,090","$18,476,885.60","20,796",$888.48,"556,328",$33.17,"17,389",$33.97,"3,407",$4.35,-12%
LOW-OGESTREL ,NORGESTREL-ETHINYL ESTRADIOL ,"18,925","$552,847.51","3,668",$150.72,"659,042",$0.84,313,$38.07,"3,355",$6.13,"16,644","$506,417.86","3,668",$138.06,"609,196",$0.83,362,$39.20,"3,306",$4.09,"14,528","$440,872.13","2,737",$161.08,"547,578",$0.81,303,$69.87,"2,434",$5.24,"13,187","$358,405.86","2,304",$155.56,"510,606",$0.70,236,$85.37,"2,068",$5.53,"11,414","$283,077.68","2,097",$134.99,"451,365",$0.63,207,$74.69,"1,890",$5.35,-11%
LOXAPINE ,LOXAPINE SUCCINATE ,"100,236","$5,795,296.69","12,449",$465.52,"6,567,812",$0.87,"2,273",$80.90,"10,176",$9.38,"101,586","$5,316,753.61","12,505",$425.17,"6,663,072",$0.79,"2,255",$84.81,"10,250",$8.79,"103,234","$5,075,192.02","12,484",$406.54,"6,738,471",$0.75,"2,373",$106.46,"10,111",$9.18,"103,422","$4,725,367.81","12,569",$375.95,"6,811,374",$0.69,"2,415",$106.07,"10,154",$8.93,"103,069","$4,717,164.60","12,291",$383.79,"6,704,652",$0.70,"2,383",$115.05,"9,908",$9.31,1%
LOXITANE ,LOXAPINE SUCCINATE ,158,"$28,219.74",47,$600.42,"15,017",$1.90,12,$116.82,35,$5.06,141,"$24,216.96",45,$538.15,"15,309",$1.63,,,,,154,"$26,306.54",33,$797.17,"15,245",$1.74,,,,,69,"$8,541.09",20,$427.05,"5,788",$1.57,,,,,,,,,,,,,,,
LOZI-FLUR ,SODIUM FLUORIDE ,20,$318.06,,,"1,500",$0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENTIS ,RANIBIZUMAB ,470,"$1,070,509.61",167,"$6,410.24",27,"$38,998.53",108,"$1,188.11",59,$94.10,765,"$1,823,175.72",249,"$7,321.99",50,"$36,616.67",165,"$1,413.44",84,$61.14,981,"$2,314,890.25",282,"$8,208.83",66,"$34,926.37",215,"$1,166.86",67,$99.33,"1,150","$2,653,068.89",357,"$7,431.57",73,"$36,666.12",233,"$1,145.10",124,$55.07,"1,326","$3,089,356.76",368,"$8,394.99",88,"$35,331.36",229,"$1,496.35",139,$34.22,
LUDENT FLUORIDE ,SODIUM FLUORIDE ,53,$318.09,14,$22.72,"3,823",$0.09,,,,,162,$865.00,40,$21.63,"8,928",$0.10,21,$13.70,19,$0.97,495,"$2,427.78",148,$16.40,"27,660",$0.09,81,$11.59,67,$0.84,551,"$2,760.99",137,$20.15,"30,959",$0.09,67,$12.86,70,$1.29,791,"$4,105.55",216,$19.01,"48,851",$0.08,126,$10.37,90,$0.83,
LUER-LOK SYRINGE ,"SYRINGE W-O NEEDL,INSULIN,1 ML ",25,$547.56,17,$32.21,"1,152",$0.48,,,,,23,$498.05,12,$41.50,"1,097",$0.45,,,,,52,"$1,292.13",20,$64.61,"2,919",$0.44,,,,,33,$747.42,20,$37.37,"1,711",$0.44,,,,,26,$634.01,18,$35.22,"1,487",$0.43,,,,,
LUER-LOK SYRINGE ,"SYRINGE, DISPOSABLE, 1 ML ",25,$245.89,23,$10.69,511,$0.48,,,,,164,"$1,984.73",77,$25.78,"6,019",$0.33,60,$8.19,17,$3.98,78,$402.24,31,$12.98,"1,194",$0.34,,,,,,,,,,,,,,,,,,,,,,,,,
LUFYLLIN ,DYPHYLLINE ,151,"$64,813.99",47,"$1,379.02","17,225",$3.86,33,$237.00,14,$6.75,191,"$104,052.68",46,"$2,262.01","23,385",$4.74,32,$394.80,14,$4.16,156,"$97,177.08",45,"$2,159.49","19,527",$4.92,,,,,113,"$72,608.58",33,"$2,200.26","14,898",$5.16,,,,,24,"$13,061.72",,,"3,180",$4.11,,,,,
LUMIGAN ,BIMATOPROST ,"1,798,221","$222,428,766.48","427,390",$520.44,"6,620,459",$33.60,"280,903",$185.39,"146,487",$20.23,"1,872,164","$263,821,307.89","406,907",$648.36,"6,835,904",$38.59,"264,246",$203.66,"142,661",$20.54,"2,095,786","$331,248,511.90","453,106",$731.06,"7,892,066",$41.98,"307,824",$208.50,"145,282",$21.39,"2,209,178","$385,741,506.96","462,657",$833.75,"8,405,198",$45.89,"317,117",$225.98,"145,540",$21.82,"2,136,638","$434,124,034.44","447,375",$970.38,"8,275,600",$52.46,"308,921",$249.82,"138,454",$22.12,14%
LUMIZYME ,ALGLUCOSIDASE ALFA ,117,"$3,040,974.03",,,"4,116",$738.82,,,,,191,"$5,099,062.46",,,"6,756",$754.75,,,,,242,"$6,345,571.24",13,"$488,120.86","8,373",$757.86,,,,,300,"$8,155,513.55",18,"$453,084.09","10,730",$760.07,,,,,395,"$11,953,009.69",21,"$569,190.94","15,407",$775.82,,,,,
LUNESTA ,ESZOPICLONE ,"795,180","$165,204,122.78","172,360",$958.48,"25,650,011",$6.44,"80,502",$241.47,"91,858",$20.86,"774,843","$174,614,007.21","160,878","$1,085.38","25,522,430",$6.84,"79,473",$265.09,"81,405",$20.66,"792,733","$218,590,917.19","160,787","$1,359.51","26,418,028",$8.27,"85,100",$282.37,"75,687",$21.54,"299,489","$107,285,091.15","101,078","$1,061.41","9,948,935",$10.78,"52,537",$180.35,"48,541",$13.55,"31,235","$13,188,033.52","7,630","$1,728.44","1,084,162",$12.16,"3,708",$334.93,"3,922",$13.18,13%
LUPANETA PACK ,LEUPROLIDE/NORETHINDRONE ACET ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,"$57,948.45",21,"$2,759.45",39,"$1,485.86",0,,21,$5.76,109,"$168,288.08",43,"$3,913.68",109,"$1,543.93",,,,,
LUPRON DEPOT ,LEUPROLIDE ACETATE ,"19,315","$31,995,404.30","6,296","$5,081.86","19,522","$1,643.85","1,537",$769.50,"4,759",$21.87,"18,860","$33,472,671.73","6,006","$5,573.21","19,054","$1,764.61","1,515",$766.53,"4,491",$17.90,"19,453","$38,275,295.44","6,158","$6,215.54","19,829","$1,931.50","1,893",$655.58,"4,265",$16.48,"18,408","$40,028,835.37","6,041","$6,626.19","18,688","$2,150.06","1,889",$706.05,"4,152",$14.74,"17,526","$44,216,514.06","5,848","$7,560.96","17,739","$2,508.06","1,847",$794.88,"4,001",$15.03,12%
LUPRON DEPOT-PED ,LEUPROLIDE ACETATE ,216,"$292,931.74",64,"$4,577.06",230,"$1,291.92",,,,,210,"$386,982.26",54,"$7,166.34",210,"$1,842.77",,,,,269,"$637,696.67",88,"$7,246.55",270,"$2,364.00",11,$305.75,77,$15.86,286,"$665,538.68",87,"$7,649.87",296,"$2,289.58",14,$231.78,73,$2.70,272,"$655,270.40",61,"$10,742.14",272,"$2,409.08",,,,,
LUTERA ,LEVONORGESTREL-ETHIN ESTRADIOL ,"13,128","$401,764.53","2,574",$156.09,"485,264",$0.83,201,$43.77,"2,373",$6.41,"13,495","$406,559.76","3,041",$133.69,"517,634",$0.79,279,$44.16,"2,762",$4.38,"11,792","$354,104.83","2,410",$146.93,"460,810",$0.77,213,$76.11,"2,197",$5.31,"11,321","$298,563.43","2,323",$128.52,"455,208",$0.66,204,$74.39,"2,119",$5.13,"9,204","$207,492.10","2,083",$99.61,"379,541",$0.55,194,$65.10,"1,889",$4.84,-17%
LUVOX CR ,FLUVOXAMINE MALEATE ,"11,114","$3,603,586.07","2,300","$1,566.78","540,654",$6.67,527,$374.96,"1,773",$17.15,"13,251","$5,848,496.74","2,447","$2,390.07","643,126",$9.10,557,$458.97,"1,890",$18.53,"8,830","$4,611,147.15","2,020","$2,282.75","420,931",$10.97,492,$336.35,"1,528",$13.27,"3,069","$2,032,004.67",586,"$3,467.58","158,027",$12.89,140,$496.22,446,$15.53,98,"$50,237.19",47,"$1,068.88","3,955",$12.91,,,,,
LUXIQ ,BETAMETHASONE VALERATE ,"10,841","$2,976,670.94","6,155",$483.62,"1,025,850",$2.90,"4,126",$103.43,"2,029",$7.55,"8,084","$2,557,294.35","4,570",$559.58,"765,212",$3.34,"3,331",$111.55,"1,239",$8.29,"2,342","$839,945.44","1,357",$618.97,"223,614",$3.76,936,$100.46,421,$5.25,646,"$308,215.69",346,$890.80,"64,430",$4.78,227,$109.82,119,$8.94,193,"$107,487.17",106,"$1,014.03","18,550",$5.79,67,$111.02,39,$4.09,
LUZU ,LULICONAZOLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,"$348,421.26",734,$474.69,"53,827",$6.47,645,$60.86,89,$5.85,"1,897","$810,287.68","1,449",$559.20,"118,263",$6.85,"1,176",$67.25,273,$6.95,
LYBREL ,LEVONORGESTREL-ETHIN ESTRADIOL ,"1,204","$83,126.14",249,$333.84,"40,096",$2.07,31,$185.79,218,$21.80,459,"$35,488.08",108,$328.59,"14,980",$2.37,11,$160.61,97,$10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNPARZA ,OLAPARIB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,781","$28,334,998.74",669,"$42,354.26","1,109,048",$25.55,485,"$3,319.59",184,$82.68,
LYRICA ,PREGABALIN ,"3,246,115","$627,132,583.61","592,992","$1,057.57","234,318,966",$2.68,"230,244",$264.49,"362,748",$23.57,"3,440,466","$767,435,441.86","615,951","$1,245.94","253,199,771",$3.03,"249,229",$295.07,"366,722",$22.91,"4,111,085","$1,073,704,899.20","738,891","$1,453.13","300,655,095",$3.57,"328,754",$290.30,"410,137",$23.28,"4,487,076","$1,404,488,159.70","791,187","$1,775.17","327,999,529",$4.28,"350,635",$322.34,"440,552",$22.60,"4,732,710","$1,766,473,720.00","826,143","$2,138.22","346,841,241",$5.10,"354,965",$367.19,"471,178",$23.06,19%
LYSIPLEX PLUS ,"LYSINE/VIT E/FA/VIT BCOMP,C/ZN ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,$143.79,17,$8.46,810,$0.18,,,,,,,,,,,,,,,
LYSODREN ,MITOTANE ,420,"$314,891.42",100,"$3,148.91","72,020",$4.37,63,$724.58,37,$22.69,475,"$330,397.87",114,"$2,898.23","75,335",$4.39,79,$551.74,35,$11.32,539,"$438,547.23",117,"$3,748.27","95,960",$4.57,82,$525.54,35,$30.26,529,"$477,920.94",122,"$3,917.38","100,868",$4.74,80,$541.02,42,$25.65,553,"$487,330.83",120,"$4,061.09","100,786",$4.84,72,$660.71,48,$18.30,
LYSTEDA ,TRANEXAMIC ACID ,"1,117","$189,696.64",575,$329.91,"37,552",$5.05,54,$113.65,521,$7.52,"1,939","$348,143.23",880,$395.62,"69,681",$5.00,95,$140.07,785,$8.20,540,"$99,313.16",274,$362.46,"20,706",$4.80,50,$163.17,224,$8.56,144,"$27,833.05",71,$392.01,"5,744",$4.85,,,,,48,"$13,336.53",20,$666.83,"2,782",$4.79,,,,,
MACNATAL CN DHA ,"PNV69/IRON,CARBONYL/FA/DSS/DHA ",,,,,,,,,,,20,"$1,438.06",13,$110.62,870,$1.65,0,,13,$1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACROBID ,NITROFURANTOIN MONOHYD/M-CRYST ,"2,723","$295,208.84","1,877",$157.28,"1,094,803",$0.27,"1,227",$65.59,650,$4.01,"1,232","$121,771.55",765,$159.18,"34,318",$3.55,507,$67.32,258,$4.30,"1,045","$233,647.95",602,$388.12,"31,586",$7.40,430,$80.91,172,$7.55,964,"$366,514.29",564,$649.85,"28,309",$12.95,370,$97.52,194,$9.01,736,"$199,386.87",462,$431.57,"18,921",$10.54,294,$84.29,168,$4.18,
MACRODANTIN ,NITROFURANTOIN MACROCRYSTAL ,"7,228","$599,274.92","2,460",$243.61,"320,633",$1.86,"1,531",$136.71,929,$13.23,"4,348","$387,434.05","1,592",$243.36,"182,262",$2.13,891,$127.52,701,$8.10,"4,548","$763,995.73","1,293",$590.87,"180,696",$4.23,796,$171.81,497,$11.06,"3,861","$1,192,841.17","1,138","$1,048.19","153,350",$7.80,689,$203.16,449,$15.74,"2,226","$861,094.78",819,"$1,051.40","93,774",$9.36,500,$190.61,319,$12.14,
MAFENIDE ACETATE ,MAFENIDE ACETATE ,,,,,,,,,,,,,,,,,,,,,32,"$21,802.70",13,"$1,677.13","6,156",$3.54,,,,,43,"$25,691.57",20,"$1,284.58","15,178",$1.69,,,,,,,,,,,,,,,
MAGELLAN INSULIN SAFETY SYRNG ,"SYRINGE,NEEDLE,INSULN,SAFE,1ML ",168,"$5,487.46",65,$84.42,"12,877",$0.43,37,$60.02,28,$4.81,240,"$6,712.68",58,$115.74,"15,940",$0.42,28,$105.90,30,$9.85,146,"$4,701.53",42,$111.94,"11,372",$0.41,19,$101.28,23,$6.96,"2,524","$60,057.05",683,$87.93,"123,636",$0.48,51,$58.64,632,$0.37,"4,742","$126,011.26",864,$145.85,"280,572",$0.45,49,$95.09,815,$1.00,
MAGELLAN INSULIN SAFETY SYRNG ,"SYRINGE,NEEDLE,INSULN,SF 0.5ML ",150,"$6,609.89",48,$137.71,"15,340",$0.43,21,$81.38,27,$4.75,198,"$8,490.43",52,$163.28,"19,298",$0.44,20,$103.84,32,$6.51,161,"$6,092.58",36,$169.24,"14,210",$0.43,20,$100.98,16,$9.51,213,"$6,770.16",38,$178.16,"17,040",$0.40,19,$99.82,19,$13.19,170,"$5,047.67",26,$194.14,"12,450",$0.41,13,$100.59,13,$10.11,
