Notes,Year,Year Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,% of Total Deaths
,2006,2006,Texas,48,Male,M,45-54 years,45-54,293,1574906,18.6,1.1,0.001
,2006,2006,Texas,48,Male,M,55-64 years,55-64,82,1063550,7.7,0.9,0
Total,2006,2006,Texas,48,Male,M,,,1076,11588337,9.3,0.3,0.003
Total,2006,2006,Texas,48,,,,,1550,23359580,6.6,0.2,0.004
,2006,2006,Utah,49,Female,F,15-24 years,15-24,19,220790,Unreliable,2,0
,2006,2006,Utah,49,Female,F,25-34 years,25-34,29,193492,15.0,2.8,0
,2006,2006,Utah,49,Female,F,35-44 years,35-44,26,150333,17.3,3.4,0
,2006,2006,Utah,49,Female,F,45-54 years,45-54,37,145806,25.4,4.2,0
,2006,2006,Utah,49,Female,F,55-64 years,55-64,17,102018,Unreliable,4,0
Total,2006,2006,Utah,49,Female,F,,,130,1257991,10.3,0.9,0
,2006,2006,Utah,49,Male,M,15-24 years,15-24,42,226683,18.5,2.9,0
,2006,2006,Utah,49,Male,M,25-34 years,25-34,58,202266,28.7,3.8,0
,2006,2006,Utah,49,Male,M,35-44 years,35-44,52,155133,33.5,4.6,0
,2006,2006,Utah,49,Male,M,45-54 years,45-54,54,144574,37.4,5.1,0
,2006,2006,Utah,49,Male,M,55-64 years,55-64,13,98654,Unreliable,3.7,0
Total,2006,2006,Utah,49,Male,M,,,223,1267516,17.6,1.2,0.001
Total,2006,2006,Utah,49,,,,,353,2525507,14.0,0.7,0.001
Total,2006,2006,Vermont,50,Female,F,,,18,316290,Unreliable,1.3,0
,2006,2006,Vermont,50,Male,M,25-34 years,25-34,12,33215,Unreliable,10.4,0
,2006,2006,Vermont,50,Male,M,35-44 years,35-44,17,43857,Unreliable,9.4,0
Total,2006,2006,Vermont,50,Male,M,,,47,306602,15.3,2.2,0
Total,2006,2006,Vermont,50,,,,,65,622892,10.4,1.3,0
,2006,2006,Virginia,51,Female,F,15-24 years,15-24,12,535606,Unreliable,0.6,0
,2006,2006,Virginia,51,Female,F,25-34 years,25-34,28,511840,5.5,1,0
,2006,2006,Virginia,51,Female,F,35-44 years,35-44,64,592823,10.8,1.3,0
,2006,2006,Virginia,51,Female,F,45-54 years,45-54,61,587400,10.4,1.3,0
,2006,2006,Virginia,51,Female,F,55-64 years,55-64,14,437843,Unreliable,0.9,0
Total,2006,2006,Virginia,51,Female,F,,,184,3908475,4.7,0.3,0.001
,2006,2006,Virginia,51,Male,M,15-24 years,15-24,36,571109,6.3,1.1,0
,2006,2006,Virginia,51,Male,M,25-34 years,25-34,76,512127,14.8,1.7,0
,2006,2006,Virginia,51,Male,M,35-44 years,35-44,107,573852,18.6,1.8,0
,2006,2006,Virginia,51,Male,M,45-54 years,45-54,90,561358,16.0,1.7,0
Total,2006,2006,Virginia,51,Male,M,,,322,3765250,8.6,0.5,0.001
Total,2006,2006,Virginia,51,,,,,506,7673725,6.6,0.3,0.001
,2006,2006,Washington,53,Female,F,15-24 years,15-24,15,437855,Unreliable,0.9,0
,2006,2006,Washington,53,Female,F,25-34 years,25-34,45,423818,10.6,1.6,0
,2006,2006,Washington,53,Female,F,35-44 years,35-44,73,464108,15.7,1.8,0
,2006,2006,Washington,53,Female,F,45-54 years,45-54,107,485963,22.0,2.1,0
,2006,2006,Washington,53,Female,F,55-64 years,55-64,39,362597,10.8,1.7,0
Total,2006,2006,Washington,53,Female,F,,,294,3200695,9.2,0.5,0.001
,2006,2006,Washington,53,Male,M,15-24 years,15-24,53,469654,11.3,1.6,0
,2006,2006,Washington,53,Male,M,25-34 years,25-34,70,432118,16.2,1.9,0
,2006,2006,Washington,53,Male,M,35-44 years,35-44,115,471954,24.4,2.3,0
,2006,2006,Washington,53,Male,M,45-54 years,45-54,138,479648,28.8,2.4,0
,2006,2006,Washington,53,Male,M,55-64 years,55-64,53,350672,15.1,2.1,0
Total,2006,2006,Washington,53,Male,M,,,438,3170058,13.8,0.7,0.001
Total,2006,2006,Washington,53,,,,,732,6370753,11.5,0.4,0.002
,2006,2006,West Virginia,54,Female,F,15-24 years,15-24,15,116883,Unreliable,3.3,0
,2006,2006,West Virginia,54,Female,F,25-34 years,25-34,28,109994,25.5,4.8,0
,2006,2006,West Virginia,54,Female,F,35-44 years,35-44,22,123103,17.9,3.8,0
,2006,2006,West Virginia,54,Female,F,45-54 years,45-54,36,142755,25.2,4.2,0
Total,2006,2006,West Virginia,54,Female,F,,,113,930605,12.1,1.1,0
,2006,2006,West Virginia,54,Male,M,15-24 years,15-24,32,122684,26.1,4.6,0
,2006,2006,West Virginia,54,Male,M,25-34 years,25-34,50,111683,44.8,6.3,0
,2006,2006,West Virginia,54,Male,M,35-44 years,35-44,55,123339,44.6,6,0
,2006,2006,West Virginia,54,Male,M,45-54 years,45-54,50,139188,35.9,5.1,0
,2006,2006,West Virginia,54,Male,M,55-64 years,55-64,10,116149,Unreliable,2.7,0
Total,2006,2006,West Virginia,54,Male,M,,,199,897307,22.2,1.6,0.001
Total,2006,2006,West Virginia,54,,,,,312,1827912,17.1,1,0.001
,2006,2006,Wisconsin,55,Female,F,25-34 years,25-34,15,331364,Unreliable,1.2,0
,2006,2006,Wisconsin,55,Female,F,35-44 years,35-44,36,397905,9.0,1.5,0
,2006,2006,Wisconsin,55,Female,F,45-54 years,45-54,48,425293,11.3,1.6,0
,2006,2006,Wisconsin,55,Female,F,55-64 years,55-64,14,302884,Unreliable,1.2,0
Total,2006,2006,Wisconsin,55,Female,F,,,129,2812276,4.6,0.4,0
,2006,2006,Wisconsin,55,Male,M,15-24 years,15-24,27,416581,6.5,1.2,0
,2006,2006,Wisconsin,55,Male,M,25-34 years,25-34,78,346758,22.5,2.5,0
,2006,2006,Wisconsin,55,Male,M,35-44 years,35-44,81,403420,20.1,2.2,0
,2006,2006,Wisconsin,55,Male,M,45-54 years,45-54,73,427362,17.1,2,0
,2006,2006,Wisconsin,55,Male,M,55-64 years,55-64,28,298339,9.4,1.8,0
Total,2006,2006,Wisconsin,55,Male,M,,,291,2765379,10.5,0.6,0.001
Total,2006,2006,Wisconsin,55,,,,,420,5577655,7.5,0.4,0.001
Total,2006,2006,Wyoming,56,Male,M,,,10,265306,Unreliable,1.2,0
Total,2006,2006,Wyoming,56,,,,,15,522667,Unreliable,0.7,0
Total,2006,2006,,,,,,,22012,298379912,7.4,0,0.062
,2007,2007,Alabama,1,Female,F,25-34 years,25-34,15,302088,Unreliable,1.3,0
,2007,2007,Alabama,1,Female,F,35-44 years,35-44,18,325948,Unreliable,1.3,0
,2007,2007,Alabama,1,Female,F,45-54 years,45-54,23,350063,6.6,1.4,0
Total,2007,2007,Alabama,1,Female,F,,,70,2407275,2.9,0.3,0
,2007,2007,Alabama,1,Male,M,15-24 years,15-24,30,338136,8.9,1.6,0
,2007,2007,Alabama,1,Male,M,25-34 years,25-34,29,291564,9.9,1.8,0
,2007,2007,Alabama,1,Male,M,35-44 years,35-44,26,313008,8.3,1.6,0
,2007,2007,Alabama,1,Male,M,45-54 years,45-54,17,330732,Unreliable,1.2,0
Total,2007,2007,Alabama,1,Male,M,,,112,2265565,4.9,0.5,0
Total,2007,2007,Alabama,1,,,,,182,4672840,3.9,0.3,0.001
Total,2007,2007,Alaska,2,Male,M,,,16,353162,Unreliable,1.1,0
Total,2007,2007,Alaska,2,,,,,22,680300,3.2,0.7,0
,2007,2007,Arizona,4,Female,F,15-24 years,15-24,16,420486,Unreliable,1,0
,2007,2007,Arizona,4,Female,F,25-34 years,25-34,23,415189,5.5,1.2,0
,2007,2007,Arizona,4,Female,F,35-44 years,35-44,52,410351,12.7,1.8,0
,2007,2007,Arizona,4,Female,F,45-54 years,45-54,54,411336,13.1,1.8,0
,2007,2007,Arizona,4,Female,F,55-64 years,55-64,21,345568,6.1,1.3,0
Total,2007,2007,Arizona,4,Female,F,,,177,3096998,5.7,0.4,0
,2007,2007,Arizona,4,Male,M,15-24 years,15-24,47,456430,10.3,1.5,0
,2007,2007,Arizona,4,Male,M,25-34 years,25-34,68,436048,15.6,1.9,0
,2007,2007,Arizona,4,Male,M,35-44 years,35-44,82,421172,19.5,2.2,0
,2007,2007,Arizona,4,Male,M,45-54 years,45-54,112,396466,28.2,2.7,0
,2007,2007,Arizona,4,Male,M,55-64 years,55-64,30,314829,9.5,1.7,0
,2007,2007,Arizona,4,Male,M,65-74 years,65-74,10,208734,Unreliable,1.5,0
Total,2007,2007,Arizona,4,Male,M,,,355,3070683,11.6,0.6,0.001
Total,2007,2007,Arizona,4,,,,,532,6167681,8.6,0.4,0.002
,2007,2007,Arkansas,5,Female,F,25-34 years,25-34,12,184063,Unreliable,1.9,0
,2007,2007,Arkansas,5,Female,F,35-44 years,35-44,17,190400,Unreliable,2.2,0
,2007,2007,Arkansas,5,Female,F,45-54 years,45-54,27,202011,13.4,2.6,0
Total,2007,2007,Arkansas,5,Female,F,,,70,1451358,4.8,0.6,0
,2007,2007,Arkansas,5,Male,M,15-24 years,15-24,21,203493,10.3,2.3,0
,2007,2007,Arkansas,5,Male,M,25-34 years,25-34,24,184297,13.0,2.7,0
,2007,2007,Arkansas,5,Male,M,35-44 years,35-44,23,188402,12.2,2.5,0
,2007,2007,Arkansas,5,Male,M,45-54 years,45-54,23,194675,11.8,2.5,0
Total,2007,2007,Arkansas,5,Male,M,,,99,1397292,7.1,0.7,0
Total,2007,2007,Arkansas,5,,,,,169,2848650,5.9,0.5,0
,2007,2007,California,6,Female,F,15-24 years,15-24,33,2615554,1.3,0.2,0
,2007,2007,California,6,Female,F,25-34 years,25-34,67,2539939,2.6,0.3,0
,2007,2007,California,6,Female,F,35-44 years,35-44,139,2648251,5.2,0.4,0
,2007,2007,California,6,Female,F,45-54 years,45-54,252,2563648,9.8,0.6,0.001
,2007,2007,California,6,Female,F,55-64 years,55-64,111,1873090,5.9,0.6,0
,2007,2007,California,6,Female,F,65-74 years,65-74,16,1103323,Unreliable,0.4,0
,2007,2007,California,6,Female,F,75-84 years,75-84,16,793074,Unreliable,0.5,0
Total,2007,2007,California,6,Female,F,,,645,18214926,3.5,0.1,0.002
,2007,2007,California,6,Male,M,15-24 years,15-24,119,2836765,4.2,0.4,0
,2007,2007,California,6,Male,M,25-34 years,25-34,187,2640595,7.1,0.5,0.001
,2007,2007,California,6,Male,M,35-44 years,35-44,295,2690610,11.0,0.6,0.001
,2007,2007,California,6,Male,M,45-54 years,45-54,454,2523838,18.0,0.8,0.001
,2007,2007,California,6,Male,M,55-64 years,55-64,194,1745333,11.1,0.8,0.001
,2007,2007,California,6,Male,M,65-74 years,65-74,19,942728,Unreliable,0.5,0
Total,2007,2007,California,6,Male,M,,,1283,18035385,7.1,0.2,0.004
Total,2007,2007,California,6,,,,,1928,36250311,5.3,0.1,0.005
,2007,2007,Colorado,8,Female,F,25-34 years,25-34,24,332865,7.2,1.5,0
,2007,2007,Colorado,8,Female,F,35-44 years,35-44,48,346577,13.8,2,0
,2007,2007,Colorado,8,Female,F,45-54 years,45-54,65,366183,17.8,2.2,0
,2007,2007,Colorado,8,Female,F,55-64 years,55-64,27,264948,10.2,2,0
Total,2007,2007,Colorado,8,Female,F,,,174,2396433,7.3,0.6,0
,2007,2007,Colorado,8,Male,M,15-24 years,15-24,26,353987,7.3,1.4,0
,2007,2007,Colorado,8,Male,M,25-34 years,25-34,45,351942,12.8,1.9,0
,2007,2007,Colorado,8,Male,M,35-44 years,35-44,67,359837,18.6,2.3,0
,2007,2007,Colorado,8,Male,M,45-54 years,45-54,80,362708,22.1,2.5,0
,2007,2007,Colorado,8,Male,M,55-64 years,55-64,32,258484,12.4,2.2,0
Total,2007,2007,Colorado,8,Male,M,,,255,2407435,10.6,0.7,0.001
Total,2007,2007,Colorado,8,,,,,429,4803868,8.9,0.4,0.001
,2007,2007,Connecticut,9,Female,F,15-24 years,15-24,12,229069,Unreliable,1.5,0
,2007,2007,Connecticut,9,Female,F,25-34 years,25-34,14,202080,Unreliable,1.9,0
,2007,2007,Connecticut,9,Female,F,35-44 years,35-44,23,270438,8.5,1.8,0
,2007,2007,Connecticut,9,Female,F,45-54 years,45-54,21,285611,7.4,1.6,0
Total,2007,2007,Connecticut,9,Female,F,,,77,1811617,4.3,0.5,0
,2007,2007,Connecticut,9,Male,M,15-24 years,15-24,29,242623,12.0,2.2,0
,2007,2007,Connecticut,9,Male,M,25-34 years,25-34,37,200560,18.4,3,0
,2007,2007,Connecticut,9,Male,M,35-44 years,35-44,71,257335,27.6,3.3,0
,2007,2007,Connecticut,9,Male,M,45-54 years,45-54,58,273509,21.2,2.8,0
,2007,2007,Connecticut,9,Male,M,55-64 years,55-64,15,195718,Unreliable,2,0
Total,2007,2007,Connecticut,9,Male,M,,,211,1715653,12.3,0.8,0.001
Total,2007,2007,Connecticut,9,,,,,288,3527270,8.2,0.5,0.001
Total,2007,2007,Delaware,10,Female,F,,,19,449398,Unreliable,1,0
,2007,2007,Delaware,10,Male,M,35-44 years,35-44,13,60079,Unreliable,6,0
Total,2007,2007,Delaware,10,Male,M,,,31,422351,7.3,1.3,0
Total,2007,2007,Delaware,10,,,,,50,871749,5.7,0.8,0
Total,2007,2007,District of Columbia,11,Female,F,,,14,302949,Unreliable,1.2,0
,2007,2007,District of Columbia,11,Male,M,45-54 years,45-54,14,36276,Unreliable,10.3,0
Total,2007,2007,District of Columbia,11,Male,M,,,32,271455,11.8,2.1,0
Total,2007,2007,District of Columbia,11,,,,,46,574404,8.0,1.2,0
,2007,2007,Florida,12,Female,F,15-24 years,15-24,55,1179363,4.7,0.6,0
,2007,2007,Florida,12,Female,F,25-34 years,25-34,94,1113741,8.4,0.9,0
,2007,2007,Florida,12,Female,F,35-44 years,35-44,158,1285548,12.3,1,0
,2007,2007,Florida,12,Female,F,45-54 years,45-54,194,1345585,14.4,1,0.001
,2007,2007,Florida,12,Female,F,55-64 years,55-64,61,1145603,5.3,0.7,0
,2007,2007,Florida,12,Female,F,65-74 years,65-74,18,838351,Unreliable,0.5,0
Total,2007,2007,Florida,12,Female,F,,,594,9378587,6.3,0.3,0.002
,2007,2007,Florida,12,Male,M,15-24 years,15-24,153,1252680,12.2,1,0
,2007,2007,Florida,12,Male,M,25-34 years,25-34,274,1123585,24.4,1.5,0.001
,2007,2007,Florida,12,Male,M,35-44 years,35-44,293,1272045,23.0,1.3,0.001
,2007,2007,Florida,12,Male,M,45-54 years,45-54,301,1283301,23.5,1.4,0.001
,2007,2007,Florida,12,Male,M,55-64 years,55-64,109,1026194,10.6,1,0
,2007,2007,Florida,12,Male,M,65-74 years,65-74,29,732097,4.0,0.7,0
Total,2007,2007,Florida,12,Male,M,,,1172,8989255,13.0,0.4,0.003
Total,2007,2007,Florida,12,,,,,1766,18367842,9.6,0.2,0.005
,2007,2007,Georgia,13,Female,F,15-24 years,15-24,10,660794,Unreliable,0.5,0
,2007,2007,Georgia,13,Female,F,25-34 years,25-34,28,670449,4.2,0.8,0
,2007,2007,Georgia,13,Female,F,35-44 years,35-44,47,723180,6.5,0.9,0
,2007,2007,Georgia,13,Female,F,45-54 years,45-54,59,677189,8.7,1.1,0
,2007,2007,Georgia,13,Female,F,55-64 years,55-64,20,505671,4.0,0.9,0
Total,2007,2007,Georgia,13,Female,F,,,173,4777572,3.6,0.3,0
,2007,2007,Georgia,13,Male,M,15-24 years,15-24,51,690439,7.4,1,0
,2007,2007,Georgia,13,Male,M,25-34 years,25-34,78,650008,12.0,1.4,0
,2007,2007,Georgia,13,Male,M,35-44 years,35-44,88,703800,12.5,1.3,0
,2007,2007,Georgia,13,Male,M,45-54 years,45-54,83,641729,12.9,1.4,0
,2007,2007,Georgia,13,Male,M,55-64 years,55-64,36,457816,7.9,1.3,0
Total,2007,2007,Georgia,13,Male,M,,,338,4572416,7.4,0.4,0.001
Total,2007,2007,Georgia,13,,,,,511,9349988,5.5,0.2,0.001
,2007,2007,Hawaii,15,Female,F,45-54 years,45-54,11,96617,Unreliable,3.4,0
Total,2007,2007,Hawaii,15,Female,F,,,21,657185,3.2,0.7,0
,2007,2007,Hawaii,15,Male,M,35-44 years,35-44,12,90491,Unreliable,3.8,0
,2007,2007,Hawaii,15,Male,M,45-54 years,45-54,28,96529,29.0,5.5,0
,2007,2007,Hawaii,15,Male,M,55-64 years,55-64,12,79144,Unreliable,4.4,0
Total,2007,2007,Hawaii,15,Male,M,,,65,658490,9.9,1.2,0
Total,2007,2007,Hawaii,15,,,,,86,1315675,6.5,0.7,0
,2007,2007,Idaho,16,Female,F,45-54 years,45-54,11,103821,Unreliable,3.2,0
Total,2007,2007,Idaho,16,Female,F,,,26,750127,3.5,0.7,0
,2007,2007,Idaho,16,Male,M,45-54 years,45-54,11,102642,Unreliable,3.2,0
Total,2007,2007,Idaho,16,Male,M,,,37,754978,4.9,0.8,0
Total,2007,2007,Idaho,16,,,,,63,1505105,4.2,0.5,0
,2007,2007,Illinois,17,Female,F,15-24 years,15-24,13,880317,Unreliable,0.4,0
,2007,2007,Illinois,17,Female,F,25-34 years,25-34,44,866526,5.1,0.8,0
,2007,2007,Illinois,17,Female,F,35-44 years,35-44,87,908467,9.6,1,0
,2007,2007,Illinois,17,Female,F,45-54 years,45-54,97,939882,10.3,1,0
,2007,2007,Illinois,17,Female,F,55-64 years,55-64,28,696063,4.0,0.8,0
Total,2007,2007,Illinois,17,Female,F,,,275,6467577,4.3,0.3,0.001
,2007,2007,Illinois,17,Male,M,15-24 years,15-24,95,928344,10.2,1,0
,2007,2007,Illinois,17,Male,M,25-34 years,25-34,136,876011,15.5,1.3,0
,2007,2007,Illinois,17,Male,M,35-44 years,35-44,174,901184,19.3,1.5,0
,2007,2007,Illinois,17,Male,M,45-54 years,45-54,169,907322,18.6,1.4,0
,2007,2007,Illinois,17,Male,M,55-64 years,55-64,54,646453,8.4,1.1,0
,2007,2007,Illinois,17,Male,M,65-74 years,65-74,10,356928,Unreliable,0.9,0
Total,2007,2007,Illinois,17,Male,M,,,642,6228289,10.3,0.4,0.002
Total,2007,2007,Illinois,17,,,,,917,12695866,7.2,0.2,0.003
,2007,2007,Indiana,18,Female,F,25-34 years,25-34,21,405666,5.2,1.1,0
,2007,2007,Indiana,18,Female,F,35-44 years,35-44,20,440953,4.5,1,0
,2007,2007,Indiana,18,Female,F,45-54 years,45-54,31,471427,6.6,1.2,0
Total,2007,2007,Indiana,18,Female,F,,,90,3241454,2.8,0.3,0
,2007,2007,Indiana,18,Male,M,15-24 years,15-24,36,470448,7.7,1.3,0
,2007,2007,Indiana,18,Male,M,25-34 years,25-34,52,410655,12.7,1.8,0
,2007,2007,Indiana,18,Male,M,35-44 years,35-44,54,442089,12.2,1.7,0
,2007,2007,Indiana,18,Male,M,45-54 years,45-54,34,462740,7.3,1.3,0
,2007,2007,Indiana,18,Male,M,55-64 years,55-64,10,339042,Unreliable,0.9,0
Total,2007,2007,Indiana,18,Male,M,,,191,3138145,6.1,0.4,0.001
Total,2007,2007,Indiana,18,,,,,281,6379599,4.4,0.3,0.001
,2007,2007,Iowa,19,Female,F,35-44 years,35-44,10,191950,Unreliable,1.6,0
,2007,2007,Iowa,19,Female,F,45-54 years,45-54,21,220552,9.5,2.1,0
Total,2007,2007,Iowa,19,Female,F,,,46,1518023,3.0,0.4,0
,2007,2007,Iowa,19,Male,M,15-24 years,15-24,16,224258,Unreliable,1.8,0
,2007,2007,Iowa,19,Male,M,25-34 years,25-34,14,184008,Unreliable,2,0
,2007,2007,Iowa,19,Male,M,35-44 years,35-44,16,195303,Unreliable,2,0
,2007,2007,Iowa,19,Male,M,45-54 years,45-54,22,220449,10.0,2.1,0
Total,2007,2007,Iowa,19,Male,M,,,75,1481189,5.1,0.6,0
Total,2007,2007,Iowa,19,,,,,121,2999212,4.0,0.4,0
,2007,2007,Kansas,20,Female,F,35-44 years,35-44,12,180928,Unreliable,1.9,0
,2007,2007,Kansas,20,Female,F,45-54 years,45-54,23,204995,11.2,2.3,0
Total,2007,2007,Kansas,20,Female,F,,,50,1405705,3.6,0.5,0
,2007,2007,Kansas,20,Male,M,25-34 years,25-34,22,178231,12.3,2.6,0
,2007,2007,Kansas,20,Male,M,35-44 years,35-44,22,182412,12.1,2.6,0
,2007,2007,Kansas,20,Male,M,45-54 years,45-54,29,201914,14.4,2.7,0
Total,2007,2007,Kansas,20,Male,M,,,90,1378080,6.5,0.7,0
Total,2007,2007,Kansas,20,,,,,140,2783785,5.0,0.4,0
,2007,2007,Kentucky,21,Female,F,15-24 years,15-24,10,285425,Unreliable,1.1,0
,2007,2007,Kentucky,21,Female,F,25-34 years,25-34,27,277221,9.7,1.9,0
,2007,2007,Kentucky,21,Female,F,35-44 years,35-44,30,300834,10.0,1.8,0
,2007,2007,Kentucky,21,Female,F,45-54 years,45-54,29,321064,9.0,1.7,0
,2007,2007,Kentucky,21,Female,F,55-64 years,55-64,12,254200,Unreliable,1.4,0
Total,2007,2007,Kentucky,21,Female,F,,,112,2164210,5.2,0.5,0
,2007,2007,Kentucky,21,Male,M,15-24 years,15-24,32,300908,10.6,1.9,0
,2007,2007,Kentucky,21,Male,M,25-34 years,25-34,98,280850,34.9,3.5,0
,2007,2007,Kentucky,21,Male,M,35-44 years,35-44,54,301797,17.9,2.4,0
,2007,2007,Kentucky,21,Male,M,45-54 years,45-54,57,309577,18.4,2.4,0
,2007,2007,Kentucky,21,Male,M,55-64 years,55-64,14,239119,Unreliable,1.6,0
Total,2007,2007,Kentucky,21,Male,M,,,260,2092462,12.4,0.8,0.001
Total,2007,2007,Kentucky,21,,,,,372,4256672,8.7,0.5,0.001
,2007,2007,Louisiana,22,Female,F,25-34 years,25-34,18,289701,Unreliable,1.5,0
,2007,2007,Louisiana,22,Female,F,35-44 years,35-44,28,297767,9.4,1.8,0
,2007,2007,Louisiana,22,Female,F,45-54 years,45-54,29,327934,8.8,1.6,0
Total,2007,2007,Louisiana,22,Female,F,,,95,2239125,4.2,0.4,0
,2007,2007,Louisiana,22,Male,M,15-24 years,15-24,33,334518,9.9,1.7,0
,2007,2007,Louisiana,22,Male,M,25-34 years,25-34,63,286155,22.0,2.8,0
,2007,2007,Louisiana,22,Male,M,35-44 years,35-44,51,288615,17.7,2.5,0
,2007,2007,Louisiana,22,Male,M,45-54 years,45-54,47,314801,14.9,2.2,0
,2007,2007,Louisiana,22,Male,M,55-64 years,55-64,11,232419,Unreliable,1.4,0
Total,2007,2007,Louisiana,22,Male,M,,,205,2136456,9.6,0.7,0.001
Total,2007,2007,Louisiana,22,,,,,300,4375581,6.9,0.4,0.001
,2007,2007,Maine,23,Female,F,45-54 years,45-54,11,111619,Unreliable,3,0
Total,2007,2007,Maine,23,Female,F,,,33,677797,4.9,0.8,0
,2007,2007,Maine,23,Male,M,15-24 years,15-24,13,88904,Unreliable,4.1,0
,2007,2007,Maine,23,Male,M,25-34 years,25-34,30,70821,42.4,7.7,0
,2007,2007,Maine,23,Male,M,35-44 years,35-44,15,92803,Unreliable,4.2,0
,2007,2007,Maine,23,Male,M,45-54 years,45-54,11,107362,Unreliable,3.1,0
Total,2007,2007,Maine,23,Male,M,,,76,649243,11.7,1.3,0
Total,2007,2007,Maine,23,,,,,109,1327040,8.2,0.8,0
,2007,2007,Maryland,24,Female,F,15-24 years,15-24,11,386467,Unreliable,0.9,0
,2007,2007,Maryland,24,Female,F,25-34 years,25-34,34,372090,9.1,1.6,0
,2007,2007,Maryland,24,Female,F,35-44 years,35-44,58,443819,13.1,1.7,0
,2007,2007,Maryland,24,Female,F,45-54 years,45-54,71,453955,15.6,1.9,0
,2007,2007,Maryland,24,Female,F,55-64 years,55-64,16,334363,Unreliable,1.2,0
Total,2007,2007,Maryland,24,Female,F,,,195,2920109,6.7,0.5,0.001
,2007,2007,Maryland,24,Male,M,15-24 years,15-24,54,404239,13.4,1.8,0
,2007,2007,Maryland,24,Male,M,25-34 years,25-34,77,354162,21.7,2.5,0
,2007,2007,Maryland,24,Male,M,35-44 years,35-44,150,410785,36.5,3,0
,2007,2007,Maryland,24,Male,M,45-54 years,45-54,146,418841,34.9,2.9,0
,2007,2007,Maryland,24,Male,M,55-64 years,55-64,34,301745,11.3,1.9,0
Total,2007,2007,Maryland,24,Male,M,,,467,2733299,17.1,0.8,0.001
Total,2007,2007,Maryland,24,,,,,662,5653408,11.7,0.5,0.002
,2007,2007,Massachusetts,25,Female,F,15-24 years,15-24,11,457687,Unreliable,0.7,0
,2007,2007,Massachusetts,25,Female,F,25-34 years,25-34,43,412974,10.4,1.6,0
,2007,2007,Massachusetts,25,Female,F,35-44 years,35-44,71,487613,14.6,1.7,0
,2007,2007,Massachusetts,25,Female,F,45-54 years,45-54,78,502935,15.5,1.8,0
,2007,2007,Massachusetts,25,Female,F,55-64 years,55-64,29,381981,7.6,1.4,0
Total,2007,2007,Massachusetts,25,Female,F,,,242,3321653,7.3,0.5,0.001
,2007,2007,Massachusetts,25,Male,M,15-24 years,15-24,46,462545,9.9,1.5,0
,2007,2007,Massachusetts,25,Male,M,25-34 years,25-34,116,401773,28.9,2.7,0
,2007,2007,Massachusetts,25,Male,M,35-44 years,35-44,155,467382,33.2,2.7,0
,2007,2007,Massachusetts,25,Male,M,45-54 years,45-54,153,477866,32.0,2.6,0
,2007,2007,Massachusetts,25,Male,M,55-64 years,55-64,33,350195,9.4,1.6,0
Total,2007,2007,Massachusetts,25,Male,M,,,508,3109906,16.3,0.7,0.001
Total,2007,2007,Massachusetts,25,,,,,750,6431559,11.7,0.4,0.002
,2007,2007,Michigan,26,Female,F,15-24 years,15-24,14,703990,Unreliable,0.5,0
,2007,2007,Michigan,26,Female,F,25-34 years,25-34,25,600070,4.2,0.8,0
,2007,2007,Michigan,26,Female,F,35-44 years,35-44,44,705694,6.2,0.9,0
,2007,2007,Michigan,26,Female,F,45-54 years,45-54,80,773683,10.3,1.2,0
,2007,2007,Michigan,26,Female,F,55-64 years,55-64,17,588434,Unreliable,0.7,0
Total,2007,2007,Michigan,26,Female,F,,,187,5091035,3.7,0.3,0.001
,2007,2007,Michigan,26,Male,M,15-24 years,15-24,50,733617,6.8,1,0
,2007,2007,Michigan,26,Male,M,25-34 years,25-34,90,597843,15.1,1.6,0
,2007,2007,Michigan,26,Male,M,35-44 years,35-44,105,697454,15.1,1.5,0
,2007,2007,Michigan,26,Male,M,45-54 years,45-54,119,751000,15.8,1.5,0
,2007,2007,Michigan,26,Male,M,55-64 years,55-64,34,558423,6.1,1,0
Total,2007,2007,Michigan,26,Male,M,,,407,4910249,8.3,0.4,0.001
Total,2007,2007,Michigan,26,,,,,594,10001284,5.9,0.2,0.002
,2007,2007,Minnesota,27,Female,F,35-44 years,35-44,28,363752,7.7,1.5,0
,2007,2007,Minnesota,27,Female,F,45-54 years,45-54,25,396550,6.3,1.3,0
,2007,2007,Minnesota,27,Female,F,55-64 years,55-64,11,283489,Unreliable,1.2,0
Total,2007,2007,Minnesota,27,Female,F,,,76,2622551,2.9,0.3,0
,2007,2007,Minnesota,27,Male,M,15-24 years,15-24,19,379518,Unreliable,1.1,0
,2007,2007,Minnesota,27,Male,M,25-34 years,25-34,19,344674,Unreliable,1.3,0
,2007,2007,Minnesota,27,Male,M,35-44 years,35-44,30,369332,8.1,1.5,0
,2007,2007,Minnesota,27,Male,M,45-54 years,45-54,42,398214,10.5,1.6,0
,2007,2007,Minnesota,27,Male,M,55-64 years,55-64,17,277634,Unreliable,1.5,0
Total,2007,2007,Minnesota,27,Male,M,,,132,2584652,5.1,0.4,0
Total,2007,2007,Minnesota,27,,,,,208,5207203,4.0,0.3,0.001
,2007,2007,Mississippi,28,Female,F,35-44 years,35-44,12,199974,Unreliable,1.7,0
